date,pm25,temperature_c
2023-11-28,290.0,
2023-11-29,221.0,
2023-11-30,123.0,
2023-12-01,111.0,
2023-12-02,141.0,
2023-12-03,188.0,
2023-12-04,174.0,
2023-12-05,180.0,
2023-12-06,179.0,
2023-12-07,191.0,
2023-12-08,168.0,
2023-12-09,218.0,
2023-12-10,181.0,
2023-12-11,229.0,
2023-12-12,223.0,
2023-12-13,230.0,
2023-12-14,213.0,
2023-12-15,241.0,
2023-12-16,278.0,
2023-12-17,166.0,
2023-12-18,195.0,
2023-12-19,190.0,
2023-12-20,249.0,
2023-12-21,265.0,
2023-12-22,264.0,
2023-12-23,247.0,
2023-12-24,252.0,
2023-12-25,241.0,
2023-12-26,279.0,
2023-12-27,309.0,
2023-12-28,230.0,
2023-12-29,187.0,
2023-12-30,226.0,
2023-12-31,174.0,
2024-01-01,175.0,
2024-01-02,198.0,
2024-01-03,145.0,
2024-01-04,174.0,
2024-01-05,209.0,
2024-01-06,238.0,
2024-01-07,194.0,
2024-01-08,207.0,
2024-01-09,217.0,
2024-01-10,205.0,
2024-01-11,231.0,
2024-01-12,223.0,
2024-01-13,226.0,
2024-01-14,200.0,
2024-01-15,236.0,
2024-01-16,223.0,
2024-01-17,296.0,
2024-01-18,270.0,
2024-01-19,230.0,12.1
2024-01-20,187.0,10.8
2024-01-21,172.0,9.95
2024-01-22,160.0,
2024-01-23,165.0,
2024-01-24,236.0,
2024-01-25,192.0,
2024-01-26,200.0,
2024-01-27,197.0,
2024-01-28,205.0,
2024-01-29,199.0,
2024-01-30,197.0,
2024-01-31,143.0,
2024-02-01,82.0,
2024-02-02,63.5,
2024-02-03,94.4,
2024-02-04,102.0,
2024-02-05,132.0,
2024-02-06,135.0,
2024-02-07,124.0,
2024-02-08,75.7,
2024-02-09,87.0,
2024-02-10,141.0,
2024-02-11,156.0,
2024-02-12,226.0,
2024-02-13,211.0,
2024-02-14,185.0,
2024-02-15,126.0,
2024-02-16,173.0,
2024-02-17,157.0,
2024-02-18,146.0,
2024-02-19,85.6,
2024-02-20,112.0,
2024-02-21,110.0,
2024-02-22,66.3,
2024-02-23,52.4,
2024-02-24,67.3,
2024-02-25,79.0,
2024-02-26,116.0,
2024-02-27,50.3,
2024-02-28,89.9,
2024-02-29,110.0,
2024-03-01,83.1,
2024-03-02,47.5,
2024-03-03,27.3,
2024-03-04,53.9,
2024-03-05,83.4,
2024-03-06,69.9,
2024-03-07,79.4,
2024-03-08,85.5,
2024-03-09,77.5,
2024-03-10,94.5,21.1
2024-03-11,111.0,20.1
2024-03-12,98.4,19.1
2024-03-13,106.0,19.6
2024-03-14,43.3,21.3
2024-03-15,33.0,21.5
2024-03-16,66.9,23.3
2024-03-17,99.3,22.9
2024-03-18,84.3,24.2
2024-03-19,91.0,23.1
2024-03-20,81.7,27.0
2024-03-21,72.7,26.9
2024-03-22,73.2,26.1
2024-03-23,62.5,26.3
2024-03-24,42.3,25.0
2024-03-25,57.3,28.1
2024-03-26,90.5,25.7
2024-03-27,93.5,25.6
2024-03-28,38.0,24.0
2024-03-29,42.9,25.8
2024-03-30,22.8,24.7
2024-03-31,23.7,24.3
2024-04-01,33.4,25.4
2024-04-02,50.7,26.9
2024-04-03,43.8,27.0
2024-04-04,42.6,27.1
2024-04-05,37.8,28.8
2024-04-06,57.6,26.9
2024-04-07,50.2,27.8
2024-04-08,62.1,26.9
2024-04-09,59.2,29.3
2024-04-10,62.1,29.1
2024-04-11,13.3,30.3
2024-04-12,23.3,30.9
2024-04-13,32.2,27.0
2024-04-14,40.2,25.2
2024-04-15,42.9,26.6
2024-04-16,28.7,25.8
2024-04-17,35.1,28.9
2024-04-18,39.9,29.5
2024-04-19,22.4,29.0
2024-04-20,27.4,28.5
2024-04-21,29.3,25.7
2024-04-22,26.3,30.7
