date,pm25,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm
2023-11-28,290.0,16.9,82,5.4,0.0
2023-11-29,221.0,17.8,83,4.6,0.0
2023-11-30,123.0,16.2,87,9.6,11.9
2023-12-01,111.0,15.6,82,7.5,0.0
2023-12-02,141.0,15.5,81,6.7,0.0
2023-12-03,188.0,15.8,81,6.2,0.0
2023-12-04,174.0,15.4,84,5.4,0.0
2023-12-05,180.0,14.6,88,6.2,0.0
2023-12-06,179.0,14.8,80,8.6,0.0
2023-12-07,191.0,14.8,79,7.2,0.0
2023-12-08,168.0,14.5,79,6.3,0.0
2023-12-09,218.0,14.1,80,6.2,0.0
2023-12-10,181.0,13.8,75,7.8,0.0
2023-12-11,229.0,13.5,77,4.9,0.0
2023-12-12,223.0,13.4,80,6.1,0.0
2023-12-13,230.0,12.9,81,5.9,0.0
2023-12-14,213.0,13.4,78,5.7,0.0
2023-12-15,241.0,14.1,75,3.9,0.0
2023-12-16,278.0,13.0,81,4.9,0.1
2023-12-17,166.0,11.9,86,6.2,0.0
2023-12-18,195.0,12.6,76,8.9,0.0
2023-12-19,190.0,11.7,77,7.6,0.0
2023-12-20,249.0,12.2,81,6.0,0.0
2023-12-21,265.0,11.8,85,4.0,0.0
2023-12-22,264.0,11.8,91,5.6,0.0
2023-12-23,247.0,14.2,87,5.9,0.0
2023-12-24,252.0,13.5,88,5.2,0.0
2023-12-25,241.0,13.0,86,5.2,0.0
2023-12-26,279.0,13.2,86,4.2,0.0
2023-12-27,309.0,12.8,90,5.4,0.0
2023-12-28,230.0,12.1,93,5.3,0.0
2023-12-29,187.0,11.8,94,5.0,0.0
2023-12-30,226.0,10.7,92,3.1,0.0
2023-12-31,174.0,9.2,93,3.3,0.0
2024-01-01,175.0,9.5,93,3.7,0.0
2024-01-02,198.0,8.2,93,4.0,0.0
2024-01-03,145.0,7.4,92,4.4,0.0
2024-01-04,174.0,8.4,91,3.8,0.0
2024-01-05,209.0,7.7,91,3.7,0.0
2024-01-06,238.0,7.6,93,3.6,0.0
2024-01-07,194.0,7.3,94,3.7,0.0
2024-01-08,207.0,6.9,93,3.9,0.0
2024-01-09,217.0,7.4,91,4.6,0.2
2024-01-10,205.0,7.2,93,5.6,0.0
2024-01-11,231.0,7.6,92,4.7,0.0
2024-01-12,223.0,7.4,94,5.7,0.0
2024-01-13,226.0,8.5,93,4.2,0.0
2024-01-14,200.0,7.7,92,4.4,0.0
2024-01-15,236.0,6.9,93,4.9,0.0
2024-01-16,223.0,6.6,92,3.8,0.0
2024-01-17,296.0,8.4,92,3.0,0.0
2024-01-18,270.0,8.5,94,3.2,0.0
2024-01-19,230.0,8.3,93,4.4,0.0
2024-01-20,187.0,8.3,91,3.8,0.0
2024-01-21,172.0,7.4,93,6.8,0.0
2024-01-22,160.0,7.3,92,4.7,0.0
2024-01-23,165.0,7.8,90,5.7,0.0
2024-01-24,236.0,7.6,93,4.2,0.0
2024-01-25,192.0,8.2,93,3.6,0.0
2024-01-26,200.0,11.1,85,6.4,0.0
2024-01-27,197.0,11.7,82,8.5,0.0
2024-01-28,205.0,12.4,84,6.8,0.0
2024-01-29,199.0,12.5,86,7.2,0.0
2024-01-30,197.0,13.3,83,8.9,2.1
2024-01-31,143.0,13.7,88,11.0,22.6
2024-02-01,82.0,12.9,87,11.0,10.6
2024-02-02,63.5,11.2,82,7.6,0.0
2024-02-03,94.4,12.4,69,7.7,1.4
2024-02-04,102.0,12.0,84,8.3,5.1
2024-02-05,132.0,10.4,84,6.2,0.0
2024-02-06,135.0,10.9,72,7.9,0.0
2024-02-07,124.0,11.0,68,10.6,0.0
2024-02-08,75.7,12.6,58,14.2,0.0
2024-02-09,87.0,12.8,68,5.6,0.0
2024-02-10,141.0,13.2,75,5.3,0.0
2024-02-11,156.0,14.7,66,4.2,0.0
2024-02-12,226.0,14.5,72,3.8,0.0
2024-02-13,211.0,14.9,72,4.0,0.0
2024-02-14,185.0,14.3,70,8.7,0.0
2024-02-15,126.0,14.9,63,7.3,0.0
2024-02-16,173.0,14.9,66,7.4,0.0
2024-02-17,157.0,16.2,66,5.6,0.0
2024-02-18,146.0,15.9,77,13.9,0.0
2024-02-19,85.6,17.5,73,19.8,9.0
2024-02-20,112.0,15.8,83,14.6,1.2
2024-02-21,110.0,13.9,76,8.1,0.0
2024-02-22,66.3,13.4,62,7.6,0.1
2024-02-23,52.4,13.3,56,7.7,0.0
2024-02-24,67.3,13.5,56,6.4,0.0
2024-02-25,79.0,13.2,59,6.1,0.0
2024-02-26,116.0,14.0,57,7.0,0.0
2024-02-27,50.3,15.6,60,10.7,0.0
2024-02-28,89.9,15.1,64,9.3,0.0
2024-02-29,110.0,16.9,64,6.7,0.0
2024-03-01,83.1,16.8,76,11.3,7.1
2024-03-02,47.5,17.2,79,24.8,13.8
2024-03-03,27.3,12.2,47,12.4,0.0
2024-03-04,53.9,11.6,57,8.7,0.0
2024-03-05,83.4,12.7,55,8.4,0.0
2024-03-06,69.9,13.3,59,6.5,0.0
2024-03-07,79.4,15.9,59,9.0,1.6
